BRANCH,ADDRESS,CITY,ZIP,JANUARY,FEBRUARY,MARCH,APRIL,MAY,JUNE,JULY,AUGUST,SEPTEMBER,OCTOBER,NOVEMBER,DECEMBER,YTD,Location
Scottsdale,4101 W. 79th St.,Chicago,60652,1268,1123,1299,1151,,,,,,,,,4841,POINT (-87.72458196999997 41.74917501500005)
Altgeld,955 E. 131st St.,Chicago,60827,115,123,165,145,,,,,,,,,548,POINT (-87.59858989999998 41.65721704300006)
West Lawn,4020 W. 63rd St.,Chicago,60629,1649,1448,2135,2070,,,,,,,,,7302,POINT (-87.72380899099994 41.77890801400008)
Back of the Yards,2111 W. 47th St.,Chicago,60609,989,889,984,1134,,,,,,,,,3996,POINT (-87.67814396299997 41.80798098100007)
Rogers Park,6907 N. Clark St.,Chicago,60626,6712,5916,7649,6366,,,,,,,,,26643,POINT (-87.67335866399998 42.006785587000024)
Talking Book and Braille downloadable,,,,2903,2567,2649,2786,,,,,,,,,10905,
Garfield Ridge,6348 S. Archer Ave.,Chicago,60638,3182,2874,3876,3096,,,,,,,,,13028,POINT (-87.78021903099994 41.792989989000034)
King,3436 S. King Dr.,Chicago,60616,1091,1052,1078,955,,,,,,,,,4176,POINT (-87.61740244999999 41.83221959000008)
Water Works,163 E. Pearson Street,Chicago,60611,3019,2690,3329,2950,,,,,,,,,11988,POINT (-87.62349998899998 41.89724401700005)
"Daley, Richard M.- W Humboldt",733 N. Kedzie Ave.,Chicago,60612,1294,1006,1346,1169,,,,,,,,,4815,POINT (-87.70645903299999 41.89468773600004)
Humboldt Park,1605 N. Troy St.,Chicago,60647,3690,3457,3990,3814,,,,,,,,,14951,POINT (-87.70530602299993 41.91045498600005)
Sulzer Regional Library,4455 N. Lincoln Ave.,Chicago,60625,25585,24380,27417,24938,,,,,,,,,102320,POINT (-87.68438998999994 41.96275701400003)
Blackstone,4904 S. Lake Park Ave.,Chicago,60615,6444,6191,7707,6442,,,,,,,,,26784,POINT (-87.59033900099996 41.80583999100003)
North Austin,5724 W. North Ave.,Chicago,60639,482,501,562,541,,,,,,,,,2086,POINT (-87.76889700799995 41.909612018000075)
West Town,1625 W. Chicago Ave.,Chicago,60622,4932,4197,5318,4438,,,,,,,,,18885,POINT (-87.66850200799996 41.89578200300008)
Budlong Woods,5630 N. Lincoln Ave.,Chicago,60659,6130,5793,7239,5783,,,,,,,,,24945,POINT (-87.69633202199998 41.983373017000076)
Lincoln Park,1150 W. Fullerton Ave.,Chicago,60614,11534,10578,12793,10922,,,,,,,,,45827,POINT (-87.65814801099998 41.925597019000065)
West Englewood,1745 W. 63rd St.,Chicago,60636,317,299,437,412,,,,,,,,,1465,POINT (-87.66838499699998 41.77907900500003)
Archer Heights,5055 S. Archer Ave.,Chicago,60632,2014,2263,2656,631,,,,,,,,,7564,POINT (-87.72667803199994 41.80089198600007)
Hegewisch,3048 E. 130th St.,Chicago,60633,913,843,969,950,,,,,,,,,3675,POINT (-87.54892896299998 41.65940898100007)
Independence,4024 N. Elston Ave.,Chicago,60618,6927,6151,7620,6680,,,,,,,,,27378,POINT (-87.72033502699998 41.95412998200004)
Lozano,1805 S. Loomis St.,Chicago,60608,2246,2241,2760,2163,,,,,,,,,9410,POINT (-87.66092996499998 41.85762200600004)
South Shore,2505 E. 73rd St.,Chicago,60649,856,778,919,885,,,,,,,,,3438,POINT (-87.56371799299995 41.76244901600006)
Chinatown,2100 S. Wentworth Ave.,Chicago,60616,4299,3882,4704,4587,,,,,,,,,17472,POINT (-87.63212899099995 41.85376201400004)
Douglass,3353 W. 13th St.,Chicago,60623,350,323,460,133,,,,,,,,,1266,POINT (-87.70967805399994 41.864482714000076)
