BRANCH,ADDRESS,CITY,ZIP,JANUARY,FEBRUARY,MARCH,APRIL,MAY,JUNE,JULY,AUGUST,SEPTEMBER,OCTOBER,NOVEMBER,DECEMBER,YTD,Location
Walker,11071 S. Hoyne Ave.,Chicago,60643,800,705,850,803,815,953,1098,914,880,1060,891,772,10541,POINT (-87.67380297499994 41.692205985000044)
Albany Park,3401 W. Foster Ave.,Chicago,60625,4274,3486,5170,4864,4561,5711,5983,5675,5603,5699,5370,5238,61634,POINT (-87.71406100499996 41.975447006000024)
Avalon,8148 S. Stony Island Ave.,Chicago,60617,1342,1099,1241,1264,1368,1378,1242,1432,1589,1476,1355,1217,16003,POINT (-87.58626296499995 41.74633099300007)
Brainerd,1350 W. 89th St.,Chicago,60620,311,349,501,60,85,278,197,280,277,337,314,332,3321,POINT (-87.65773997999997 41.73252901600006)
Oriole Park,7454 W. Balmoral Ave.,Chicago,60656,4375,3797,4725,4339,4386,5128,5511,4719,4630,5156,4850,4575,54673,POINT (-87.81385401599994 41.97838398300007)
Little Italy,1336 W. Taylor St.,Chicago,60607,3978,3273,4237,3465,3835,4460,4906,4461,3842,3865,3896,3575,47793,POINT (-87.66052296199996 41.86942820300004)
Edgebrook,5331 W. Devon Ave.,Chicago,60646,6378,5498,6690,6451,5971,6744,7849,7082,6354,6003,6511,5137,76668,POINT (-87.76208696299994 41.997127008000064)
Kelly,6151 S. Normal Blvd.,Chicago,60621,323,268,303,270,274,332,355,533,399,439,470,368,4334,POINT (-87.63724899299996 41.78199800300007)
Edgewater,6000 N. Broadway St.,Chicago,60660,11193,10185,11125,10500,10898,11595,11650,10854,10376,10137,9685,9539,127737,POINT (-87.66070097099998 41.991152010000064)
Near North,310 W. Division St.,Chicago,60610,7399,6872,7910,7329,8085,8318,8412,7284,6777,6853,6639,5610,82376,POINT (-87.63657902699998 41.90413901200003)
Canaryville,642 W. 43rd St.,Chicago,60609,0,0,0,0,0,0,131,869,1042,969,941,935,4887,POINT (-87.64259698199999 41.81648899000004)
"Daley, Richard J.- Bridgeport",3400 S. Halsted St.,Chicago,60608,4034,3152,3647,3708,3555,3532,3910,864,0,0,0,0,26402,POINT (-87.64646497899997 41.83263798300004)
Manning,6 S. Hoyne Ave.,Chicago,60612,0,0,0,0,0,0,0,7,171,547,620,530,1875,POINT (-87.67958900299999 41.88105701100005)
Portage-Cragin,5108 W. Belmont Ave.,Chicago,60641,3040,2903,3681,3430,3641,3450,3855,3481,3766,3612,3238,3057,38450,POINT (-87.75493602599994 41.93894499100003)
"Whitney M. Young, Jr.",415 East 79th St.,Chicago,60619,601,441,585,611,783,813,668,843,936,744,572,545,8142,POINT (-87.61424603299997 41.75093500500003)
