tract,county,geo_id,census_name,total_no_income,total_with_income,total_with_income_level1,total_with_income_level2,total_with_income_level3,total_with_income_level4,total_with_income_level5,total_with_income_level6,total_with_income_level7,total_with_income_level8,median_income,state_x,total_population,total_male,total_female,under_5_years,median_age,over_18_years,over_65_years,white,black,native,asian,islander,other_race,more_one_race,latino,housing_units_dp5,num_households_dp2,perc_hh_w_children,avg_household_size,avg_family_size,pop_in_households,pop_in_households_child,pop_enrolled,college_graduates,tot_pop_birth_native,tot_pop_birth_foreign,speaks_english_only,speaks_english_less_very_well,comp_tot_households,comp_tot_households_pc,comp_tot_households_internet,unemployment_rate,work_from_home,median_hh_income_d,average_hh_income_d,hh_social_security,hh_foodstamps_snap,per_capita_income_d,perc_fam_bellow_poverty,perc_ppl_bellow_poverty,occupied_units,occupied_units_owner,occupied_units_no_vehicle,median_owner_cost_unit_mortgage_d,median_owner_cost_unit_no_mortgage_d,rent_burdened_unit_mortgage,rent_burdened_unit_no_mortgage,occupied_median_rent_d,state_y
000100,001,1400000US17001000100,"Census Tract 1, Adams County, Illinois",71,15,232,96,131,108,107,262,85,70,56603,17,4652,2105,2547,281,46.4,3821,1258,4242,257,0,64,0,0,89,0,2414,2326,16.9,1.99,2.77,4638,999,877,731,4538,114,4188,0,2326,2101,1960,5.0,195,56603,71837,992,221,35745,4.7,8.4,2326,2021,123,946,488,97,50,901,17
000201,001,1400000US17001000201,"Census Tract 2.01, Adams County, Illinois",39,37,21,64,68,79,67,51,38,43,44453,17,2013,954,1059,142,39.5,1569,352,1831,119,0,6,0,6,51,35,902,845,27.3,2.35,3.29,1988,628,404,376,1971,42,1776,18,845,821,762,2.2,36,44453,61734,264,106,27131,11.1,9.8,845,672,63,979,451,60,27,816,17
000202,001,1400000US17001000202,"Census Tract 2.02, Adams County, Illinois",56,12,47,30,9,17,58,85,57,89,60690,17,2361,1157,1204,103,34.7,1832,255,2138,94,0,2,0,0,127,17,1110,952,30.0,2.44,3.04,2321,634,652,471,2290,71,2165,0,952,882,756,4.3,94,60690,64593,254,119,27899,5.0,11.9,952,664,26,885,371,0,8,976,17
000400,001,1400000US17001000400,"Census Tract 4, Adams County, Illinois",124,58,75,80,84,131,23,242,28,110,42328,17,3063,1540,1523,154,43.4,2428,607,2514,335,0,23,0,2,189,37,1594,1245,25.7,2.24,3.09,2788,673,590,252,3038,25,2848,6,1245,1019,966,2.5,131,42328,47794,327,286,22311,11.6,21.3,1245,665,290,1033,397,87,25,639,17
000500,001,1400000US17001000500,"Census Tract 5, Adams County, Illinois",115,24,23,81,52,67,37,53,11,102,39234,17,1991,931,1060,142,41.0,1583,377,1720,135,3,29,0,26,78,88,929,779,34.0,2.25,2.73,1753,450,383,171,1983,8,1805,0,779,682,619,6.0,58,39234,46834,276,153,19711,22.5,23.0,779,430,63,841,349,18,11,779,17
000600,001,1400000US17001000600,"Census Tract 6, Adams County, Illinois",36,63,106,27,115,58,121,138,155,78,65012,17,4401,2155,2246,280,33.7,3385,651,4111,150,0,21,4,0,115,13,1974,1915,27.7,2.27,2.87,4342,1261,1063,1249,4358,43,4052,0,1915,1726,1708,3.8,105,65012,90862,460,201,39658,6.5,7.4,1915,1128,119,1279,491,53,9,710,17
000700,001,1400000US17001000700,"Census Tract 7, Adams County, Illinois",124,189,102,72,42,44,31,43,5,26,17766,17,1106,527,579,68,47.9,1031,325,985,101,0,4,0,0,16,59,1022,746,5.2,1.30,2.66,967,67,62,91,1087,19,1008,5,746,447,363,8.4,19,17766,26112,379,327,17523,55.1,47.7,746,48,402,-666666666,375,0,0,499,17
000800,001,1400000US17001000800,"Census Tract 8, Adams County, Illinois",124,90,12,123,117,80,60,31,20,181,32077,17,2780,1407,1373,134,39.7,2097,573,2178,401,0,10,0,0,191,107,1265,1035,32.0,2.55,3.00,2635,700,698,92,2767,13,2633,1,1035,867,786,16.0,1,32077,43559,387,420,18663,32.9,32.4,1035,561,160,813,241,52,37,475,17
000900,001,1400000US17001000900,"Census Tract 9, Adams County, Illinois",138,27,196,43,59,88,55,69,51,81,39727,17,2599,1191,1408,152,32.7,2010,379,2268,176,0,0,0,19,136,60,1358,1200,23.1,2.17,2.99,2599,674,573,353,2576,23,2440,0,1200,966,886,15.1,65,39727,57390,359,251,27710,17.7,21.1,1200,601,48,892,405,86,7,607,17
001001,001,1400000US17001001001,"Census Tract 10.01, Adams County, Illinois",64,61,57,46,68,76,156,35,38,104,56563,17,3463,1756,1707,213,37.5,2496,564,3277,100,6,8,0,0,72,160,1443,1367,35.0,2.53,3.01,3463,1083,795,437,3455,8,3141,0,1367,1213,1232,4.7,38,56563,63012,422,291,24971,12.3,14.8,1367,1013,77,1000,378,55,30,832,17
001002,001,1400000US17001001002,"Census Tract 10.02, Adams County, Illinois",40,9,64,39,46,39,46,72,101,164,56378,17,3048,1357,1691,327,38.6,2221,703,2736,63,0,47,0,0,202,65,1260,1187,24.8,2.45,3.27,2908,840,575,529,2993,55,2560,44,1187,1059,1014,0.9,109,56378,71679,391,84,29170,8.6,18.8,1187,888,55,1087,464,118,32,1045,17
001100,001,1400000US17001001100,"Census Tract 11, Adams County, Illinois",154,0,297,103,198,139,83,120,73,328,67120,17,8036,3936,4100,485,43.7,6475,1746,7014,551,13,121,0,52,285,89,3432,3325,26.4,2.40,3.01,7985,2349,1981,2064,7773,263,7363,36,3325,2860,2825,3.9,222,67120,93121,1266,398,38865,2.7,5.0,3325,2124,357,1463,663,101,80,752,17
010100,001,1400000US17001010100,"Census Tract 101, Adams County, Illinois",56,33,45,92,75,49,72,68,61,220,67385,17,4546,2239,2307,233,41.4,3423,828,4381,28,0,9,0,24,104,142,2017,1765,30.6,2.54,3.03,4489,1407,1122,670,4525,21,4256,6,1765,1570,1501,3.4,166,67385,79316,552,137,31207,7.0,8.7,1765,1451,67,1130,404,52,32,809,17
010200,001,1400000US17001010200,"Census Tract 102, Adams County, Illinois",105,100,97,47,89,48,85,59,74,132,55924,17,3710,1868,1842,192,41.6,2800,823,3661,0,1,4,0,15,29,7,1693,1536,29.7,2.35,2.97,3608,1095,899,428,3696,14,3475,9,1536,1277,1223,2.2,111,55924,64239,515,192,27442,5.2,9.3,1536,1192,70,1110,431,135,44,555,17
010301,001,1400000US17001010301,"Census Tract 103.01, Adams County, Illinois",8,2,10,67,50,21,50,12,56,40,83400,17,2797,1539,1258,218,39.5,1956,429,2768,0,27,0,0,0,2,0,1124,988,43.0,2.83,3.10,2797,895,681,449,2794,3,2535,15,988,876,828,0.9,189,83400,83855,381,36,29956,6.0,9.7,988,833,35,1693,539,69,2,765,17
010302,001,1400000US17001010302,"Census Tract 103.02, Adams County, Illinois",28,23,29,84,29,27,91,54,31,92,63833,17,3109,1578,1531,213,35.9,2212,510,2896,0,0,26,0,0,187,151,1201,1100,31.4,2.83,3.34,3109,1019,761,369,3092,17,2866,16,1100,1033,927,3.3,131,63833,68995,359,94,24896,4.4,8.7,1100,949,3,997,513,52,17,632,17
010400,001,1400000US17001010400,"Census Tract 104, Adams County, Illinois",64,8,21,19,65,76,36,59,45,117,77261,17,3520,1748,1772,137,44.9,2604,763,3490,0,1,6,4,9,10,25,1444,1297,31.8,2.71,3.10,3520,1133,870,814,3502,18,3351,0,1297,1139,1111,0.5,58,77261,97090,465,25,37006,3.4,4.0,1297,1253,0,1292,556,56,16,631,17
010500,001,1400000US17001010500,"Census Tract 105, Adams County, Illinois",11,33,37,44,36,61,0,52,11,66,94125,17,2934,1504,1430,203,49.4,2268,851,2853,55,0,9,0,0,17,17,1290,1181,25.2,2.48,2.98,2934,740,569,779,2914,20,2682,7,1181,1041,1022,1.7,58,94125,100338,430,34,41373,2.8,6.8,1181,934,25,1382,562,51,20,889,17
010600,001,1400000US17001010600,"Census Tract 106, Adams County, Illinois",18,139,71,15,34,56,54,26,186,302,78154,17,5749,2922,2827,290,50.1,4671,1159,5626,50,0,31,0,0,42,74,2753,2385,22.7,2.40,2.76,5730,1377,1089,1485,5651,98,5347,9,2385,2191,1956,3.5,150,78154,111291,884,188,46635,11.7,10.5,2385,2140,25,1673,508,54,16,-666666666,17
957600,003,1400000US17003957600,"Census Tract 9576, Alexander County, Illinois",54,66,33,9,23,25,38,50,70,44,45500,17,1864,1057,807,43,50.1,1559,422,1499,299,0,1,0,0,65,0,888,616,15.9,2.93,3.71,1804,556,305,149,1856,8,1813,8,616,416,377,2.1,74,45500,58488,243,94,22974,14.1,24.8,616,468,21,976,404,35,45,816,17
957700,003,1400000US17003957700,"Census Tract 9577, Alexander County, Illinois",26,33,48,59,16,28,5,4,15,56,53125,17,1656,651,1005,148,41.1,1121,338,1390,254,4,0,0,0,8,0,761,484,25.6,3.42,4.36,1656,593,439,95,1656,0,1508,0,484,356,246,16.2,25,53125,54877,286,92,17803,15.0,18.1,484,390,19,967,402,26,9,700,17
957800,003,1400000US17003957800,"Census Tract 9578, Alexander County, Illinois",44,33,0,44,32,24,23,35,29,59,37750,17,1252,623,629,42,42.1,930,255,453,765,0,0,22,0,12,56,705,373,18.8,3.36,5.06,1252,682,375,182,1248,4,1188,0,373,285,230,9.3,0,37750,40250,221,89,16065,22.6,37.8,373,331,3,1000,407,52,34,827,17
957900,003,1400000US17003957900,"Census Tract 9579, Alexander County, Illinois",51,20,31,49,43,35,0,22,7,24,25577,17,716,321,395,6,53.7,632,218,160,518,0,0,0,0,38,6,705,308,9.4,2.05,5.77,632,240,142,42,700,16,707,0,308,228,178,25.1,0,25577,51100,179,38,26295,3.0,14.7,308,157,124,1347,374,38,19,425,17
951200,005,1400000US17005951200,"Census Tract 9512, Bond County, Illinois",87,27,57,68,24,44,73,42,85,71,65804,17,3114,1499,1615,147,51.9,2576,831,2966,69,15,0,0,0,64,150,1546,1294,21.4,2.41,2.95,3114,762,523,439,3090,24,2963,0,1294,1037,973,2.2,125,65804,74468,597,83,32105,7.5,11.7,1294,1072,200,1319,534,78,77,715,17
951300,005,1400000US17005951300,"Census Tract 9513, Bond County, Illinois",297,73,115,117,49,203,68,45,107,313,46553,17,6529,3985,2544,142,37.6,5629,907,5095,1115,50,155,0,21,93,421,2294,2052,36.2,2.22,2.79,4550,1241,1986,1082,6253,276,6015,128,2052,1916,1658,1.5,165,46553,54082,617,421,19593,16.8,21.2,2052,1233,202,903,511,36,28,601,17
951400,005,1400000US17005951400,"Census Tract 9514, Bond County, Illinois",63,43,63,66,6,49,76,69,94,68,51111,17,2985,1341,1644,198,41.3,2250,579,2908,0,41,10,0,7,19,35,1173,1066,27.4,2.80,3.78,2985,893,657,458,2973,12,2755,11,1066,957,865,5.3,58,51111,69605,447,122,27305,8.1,14.3,1066,910,48,1432,428,66,49,638,17
951500,005,1400000US17005951500,"Census Tract 9515, Bond County, Illinois",56,118,58,52,54,90,58,160,63,107,63625,17,4176,2052,2124,194,46.6,3213,827,4151,0,6,0,0,8,11,24,1889,1682,31.8,2.48,3.01,4176,1168,1025,555,4161,15,3914,14,1682,1484,1341,6.6,117,63625,93110,558,197,35904,6.7,11.4,1682,1394,71,1387,470,87,70,753,17
010101,007,1400000US17007010101,"Census Tract 101.01, Boone County, Illinois",67,19,18,18,127,98,34,70,32,82,68295,17,4226,1947,2279,147,37.1,3173,361,2954,104,0,36,0,1037,95,1584,1515,1418,46.3,2.98,3.39,4226,1564,1362,481,3685,541,2793,480,1418,1351,1267,7.8,50,68295,75122,347,163,28587,11.7,14.5,1418,1027,0,1209,527,186,0,1007,17
010102,007,1400000US17007010102,"Census Tract 101.02, Boone County, Illinois",180,100,86,95,49,19,80,22,59,135,47791,17,3949,2157,1792,359,30.4,2703,462,2691,69,12,0,0,1013,164,1847,1503,1304,30.3,2.95,4.23,3843,1180,1048,175,3378,571,2311,240,1304,1073,1073,8.2,50,47791,54325,274,346,19177,11.6,17.0,1304,730,216,1209,657,70,0,663,17
010200,007,1400000US17007010200,"Census Tract 102, Boone County, Illinois",78,218,82,128,142,93,370,99,30,188,38125,17,5795,2837,2958,545,36.4,4254,892,4377,61,63,1,0,627,666,2358,2347,2171,36.8,2.62,3.05,5690,2076,1256,674,4945,850,3725,408,2171,2029,1897,7.4,114,38125,55065,616,593,20562,10.3,15.8,2171,1547,163,1301,522,409,39,776,17
010300,007,1400000US17007010300,"Census Tract 103, Boone County, Illinois",90,125,26,213,186,167,62,89,112,236,64450,17,6832,2856,3976,206,41.8,5398,1535,5556,126,0,92,0,832,226,2548,2713,2713,29.0,2.50,3.48,6789,1809,1466,352,5730,1102,4435,1063,2713,2581,2145,5.1,121,64450,64322,1073,495,26616,10.2,16.2,2713,1990,242,1108,535,352,32,1053,17
010400,007,1400000US17007010400,"Census Tract 104, Boone County, Illinois",133,0,16,171,137,153,26,45,143,224,75135,17,7141,3706,3435,335,44.8,5729,1275,6333,133,0,119,0,374,182,1006,2687,2588,27.3,2.76,3.15,7141,2165,1541,1066,6626,515,5852,357,2588,2350,2262,9.9,260,75135,91850,1138,157,35428,4.7,9.2,2588,2415,0,1537,696,316,153,1231,17
010501,007,1400000US17007010501,"Census Tract 105.01, Boone County, Illinois",27,0,12,17,70,39,17,27,0,0,157583,17,4961,2490,2471,163,42.4,3641,1008,4472,44,0,79,0,28,338,313,1704,1591,34.6,3.12,3.40,4961,1874,1527,1700,4631,330,4428,148,1591,1591,1580,9.4,285,157583,176540,504,0,54290,0.0,1.1,1591,1532,0,2530,1109,86,126,2125,17
010502,007,1400000US17007010502,"Census Tract 105.02, Boone County, Illinois",16,64,24,63,8,216,123,44,60,161,75455,17,5042,2455,2587,187,54.6,4185,1503,4822,21,63,79,0,52,5,108,2104,1994,20.1,2.49,2.92,4963,1233,1021,940,4783,259,4441,27,1994,1840,1812,9.4,127,75455,95817,954,0,39370,2.9,6.1,1994,1860,8,1804,661,187,91,1323,17
010601,007,1400000US17007010601,"Census Tract 106.01, Boone County, Illinois",19,33,25,38,54,35,15,59,54,88,87905,17,3674,2029,1645,278,42.4,2885,526,3340,3,0,0,0,229,102,727,1487,1310,34.0,2.80,3.11,3674,1203,710,652,3312,362,2772,288,1310,1227,1154,14.9,185,87905,113997,384,121,42829,3.8,6.8,1310,1118,35,1384,697,84,63,1112,17
010603,007,1400000US17007010603,"Census Tract 106.03, Boone County, Illinois",37,11,4,0,49,2,38,2,46,72,128125,17,6604,3325,3279,501,34.0,4440,491,5826,404,22,59,0,8,285,720,2125,2015,57.5,3.28,3.39,6604,2698,2270,1743,6518,86,5678,12,2015,1943,1939,8.3,304,128125,139916,268,86,44518,3.4,3.2,2015,1862,29,1974,839,247,15,1618,17
010604,007,1400000US17007010604,"Census Tract 106.04, Boone County, Illinois",27,0,65,151,19,0,136,85,92,173,82998,17,5368,2984,2384,181,32.6,3978,543,4524,472,0,58,0,0,314,1012,1953,1793,44.3,2.99,3.53,5368,1722,1434,1012,5017,351,4645,148,1793,1634,1582,4.2,43,82998,85193,442,218,29553,7.1,4.3,1793,1509,14,1357,644,284,31,1575,17
970400,009,1400000US17009970400,"Census Tract 9704, Brown County, Illinois",22,52,23,81,47,1,84,42,46,74,63839,17,2245,1067,1178,108,42.6,1770,488,2171,0,20,0,0,0,54,61,1254,1007,17.1,2.23,2.98,2245,617,433,217,2220,25,2028,25,1007,831,772,0.4,131,63839,73363,406,74,34194,5.2,8.2,1007,863,14,982,501,69,21,578,17
970500,009,1400000US17009970500,"Census Tract 9705, Brown County, Illinois",24,89,79,32,50,11,35,121,30,73,58044,17,4085,3000,1085,191,36.1,3457,403,2705,1174,19,3,0,135,49,375,1092,991,30.0,2.24,3.09,2224,661,781,384,3931,154,3658,62,991,839,785,2.6,16,58044,65393,191,132,17801,6.5,11.2,991,609,77,936,344,21,0,578,17
964700,011,1400000US17011964700,"Census Tract 9647, Bureau County, Illinois",47,21,28,40,67,64,50,32,53,138,62841,17,2785,1360,1425,102,45.6,2211,603,2673,20,0,20,0,0,72,48,1264,1126,28.0,2.47,2.98,2781,818,591,317,2754,31,2643,11,1126,1061,952,6.5,54,62841,83423,434,109,34950,4.6,7.7,1126,930,19,956,532,26,17,670,17
964800,011,1400000US17011964800,"Census Tract 9648, Bureau County, Illinois",65,42,59,153,65,22,42,41,70,85,57024,17,3183,1692,1491,187,42.0,2468,645,3148,5,0,0,0,0,30,42,1493,1242,32.4,2.53,3.05,3138,1071,752,383,3162,21,2811,80,1242,1101,932,3.5,104,57024,66871,482,206,26862,17.6,17.8,1242,951,32,1116,475,103,22,775,17
964900,011,1400000US17011964900,"Census Tract 9649, Bureau County, Illinois",89,153,7,41,74,41,42,82,49,45,49338,17,2751,1286,1465,209,41.6,2141,521,2547,0,0,17,0,45,142,124,1261,1138,33.6,2.41,2.89,2739,837,549,378,2699,52,2439,27,1138,985,931,8.8,31,49338,62417,383,240,25957,12.0,23.2,1138,819,95,1169,446,37,54,827,17
965000,011,1400000US17011965000,"Census Tract 9650, Bureau County, Illinois",57,48,36,57,61,67,40,91,42,97,68056,17,3781,1999,1782,208,42.4,2860,687,2949,26,13,56,0,455,282,1181,1602,1368,33.4,2.76,3.16,3781,1162,849,377,3411,370,2845,224,1368,1240,1129,6.1,48,68056,86487,500,193,31708,10.5,13.2,1368,1109,41,1091,457,50,53,747,17
965100,011,1400000US17011965100,"Census Tract 9651, Bureau County, Illinois",71,87,61,61,41,95,94,98,68,130,57470,17,4011,1993,2018,205,43.1,3076,780,3520,75,15,0,0,267,134,601,1841,1577,33.5,2.48,3.05,3910,986,952,402,3917,94,3472,142,1577,1377,1331,6.0,34,57470,71933,647,183,29413,10.3,11.7,1577,1110,79,1227,548,89,28,728,17
965200,011,1400000US17011965200,"Census Tract 9652, Bureau County, Illinois",95,81,71,122,134,77,67,31,34,187,55185,17,3670,1747,1923,170,40.9,2947,720,3094,34,37,3,0,406,96,814,1620,1620,21.9,2.23,2.88,3617,904,845,467,3403,267,2932,267,1620,1476,1347,8.7,65,55185,64951,705,446,28576,8.6,12.1,1620,992,222,1267,570,79,66,690,17
965300,011,1400000US17011965300,"Census Tract 9653, Bureau County, Illinois",40,21,78,65,23,43,97,77,113,89,62353,17,3387,1602,1785,114,41.7,2619,686,3173,0,0,81,0,113,20,61,1551,1356,33.6,2.42,3.07,3286,894,758,649,3261,126,3171,4,1356,1261,1210,8.9,201,62353,72829,558,155,29821,7.8,12.9,1356,1025,47,1069,494,64,44,863,17
965400,011,1400000US17011965400,"Census Tract 9654, Bureau County, Illinois",24,60,147,141,68,68,105,91,95,158,54360,17,3349,1453,1896,137,58.7,2870,1349,3236,4,0,51,0,0,58,90,1999,1746,14.6,1.87,2.54,3260,598,568,976,3216,133,3024,97,1746,1516,1389,1.5,92,54360,90134,905,91,47271,2.7,4.6,1746,1268,98,1183,679,68,106,649,17
965500,011,1400000US17011965500,"Census Tract 9655, Bureau County, Illinois",65,38,87,33,35,105,78,98,60,89,62528,17,3618,1847,1771,190,41.3,2767,748,3435,8,0,44,0,9,122,162,1658,1471,30.3,2.46,3.01,3618,988,759,579,3578,40,3341,26,1471,1316,1265,3.8,87,62528,76652,535,169,31585,8.4,9.7,1471,1175,96,1178,506,103,61,768,17
965600,011,1400000US17011965600,"Census Tract 9656, Bureau County, Illinois",36,52,43,28,55,54,79,78,42,70,64103,17,2803,1438,1365,171,44.5,2235,490,2677,17,1,26,0,12,70,59,1326,1144,26.9,2.45,2.82,2803,661,473,315,2749,54,2522,26,1144,1053,953,4.8,66,64103,73728,361,106,30597,5.9,10.5,1144,973,39,1092,405,79,26,773,17
951200,013,1400000US17013951200,"Census Tract 9512, Calhoun County, Illinois",15,60,44,19,3,25,28,8,10,72,66397,17,2285,1200,1085,123,51.4,1816,575,2151,29,7,2,0,0,96,19,1223,623,20.5,3.50,4.20,2182,781,455,208,2271,14,2146,10,623,506,465,3.2,43,66397,73424,297,74,26490,7.1,9.5,623,538,20,1170,523,41,20,538,17
951300,013,1400000US17013951300,"Census Tract 9513, Calhoun County, Illinois",21,15,15,30,30,14,13,19,58,19,96250,17,2252,1134,1118,90,45.3,1804,490,2206,0,7,0,0,0,39,14,1121,649,30.2,3.44,4.22,2235,914,505,369,2246,6,2145,0,649,554,517,4.8,218,96250,103816,294,22,34813,2.3,4.3,649,621,17,1610,640,23,23,783,17
960100,015,1400000US17015960100,"Census Tract 9601, Carroll County, Illinois",48,23,64,39,77,87,54,82,40,87,68713,17,3536,1705,1831,220,48.0,2781,999,3390,37,3,27,0,7,72,85,2241,1395,23.2,2.52,3.03,3517,1064,678,501,3500,36,3199,2,1395,1253,1162,3.5,96,68713,82141,633,150,32734,6.7,11.9,1395,1177,27,1214,486,66,42,666,17
960200,015,1400000US17015960200,"Census Tract 9602, Carroll County, Illinois",50,19,53,27,129,65,22,28,43,89,56006,17,2050,1046,1004,126,57.5,1724,703,1973,11,0,0,0,21,45,52,1291,957,15.9,2.14,2.93,2050,443,244,303,2017,33,1804,38,957,832,770,12.7,42,56006,64024,550,24,29199,5.8,10.1,957,799,38,1235,528,110,39,1026,17
960300,015,1400000US17015960300,"Census Tract 9603, Carroll County, Illinois",114,94,86,101,171,62,22,79,90,207,44207,17,3276,1472,1804,119,46.0,2559,825,2773,30,19,39,0,36,379,254,1716,1432,19.7,2.25,3.36,3221,689,760,375,3129,147,2942,33,1432,1288,1230,6.4,49,44207,62164,632,179,26661,6.6,9.9,1432,897,148,962,454,96,36,623,17
960400,015,1400000US17015960400,"Census Tract 9604, Carroll County, Illinois",46,32,40,39,44,35,46,45,38,72,57571,17,2031,906,1125,118,46.3,1586,501,1953,14,0,28,0,10,26,68,1013,806,26.1,2.41,3.01,1940,544,497,364,1978,53,1848,23,806,732,712,2.7,65,57571,65960,299,73,27135,11.6,16.6,806,647,15,980,451,55,37,640,17
960500,015,1400000US17015960500,"Census Tract 9605, Carroll County, Illinois",13,28,21,58,56,83,40,37,77,82,61855,17,2451,1236,1215,129,46.2,1906,539,2336,5,0,25,0,1,84,47,1160,1036,24.7,2.36,2.90,2440,660,564,431,2423,28,2309,3,1036,946,884,3.2,45,61855,74190,367,69,32037,5.4,8.6,1036,859,25,1268,502,45,19,733,17
960600,015,1400000US17015960600,"Census Tract 9606, Carroll County, Illinois",17,37,9,35,61,9,14,41,68,67,56860,17,2242,1477,765,47,43.0,1985,352,1823,371,22,0,0,4,22,120,774,673,17.4,2.31,2.72,1557,435,274,289,2201,41,2054,23,673,603,594,3.5,62,56860,74797,261,58,21704,8.3,15.7,673,566,16,1219,550,39,32,773,17
960100,017,1400000US17017960100,"Census Tract 9601, Cass County, Illinois",34,37,108,45,21,20,9,18,42,117,60027,17,2163,1072,1091,165,44.0,1668,423,2068,25,27,0,0,14,29,14,1099,903,26.0,2.40,3.07,2163,640,472,257,2128,35,1998,0,903,754,736,7.1,56,60027,71547,383,111,30065,7.0,9.4,903,758,27,1028,452,75,24,833,17
960200,017,1400000US17017960200,"Census Tract 9602, Cass County, Illinois",70,12,25,32,48,67,55,90,41,83,57500,17,2528,1288,1240,112,44.3,1950,622,2418,14,0,5,2,42,47,71,1129,1020,27.1,2.44,2.87,2489,730,608,430,2502,26,2369,24,1020,931,877,2.2,97,57500,75264,360,81,32146,10.3,10.2,1020,798,25,1082,476,48,27,595,17
960300,017,1400000US17017960300,"Census Tract 9603, Cass County, Illinois",55,29,47,37,23,75,18,49,44,98,64954,17,2772,1394,1378,76,46.4,2263,708,2620,0,0,8,0,64,80,310,1265,1090,22.3,2.47,3.10,2696,736,553,425,2658,114,2394,118,1090,916,883,5.7,64,64954,74765,480,81,30141,4.1,7.5,1090,900,58,1099,519,18,50,624,17
960400,017,1400000US17017960400,"Census Tract 9604, Cass County, Illinois",67,66,84,62,78,50,19,80,51,104,47155,17,2899,1458,1441,236,31.6,2141,330,2062,178,0,44,89,199,327,813,1131,1062,30.5,2.71,3.45,2881,925,638,356,2351,548,1855,581,1062,972,871,7.7,20,47155,60570,352,195,23210,20.9,20.0,1062,748,78,1026,462,14,79,580,17
960500,017,1400000US17017960500,"Census Tract 9605, Cass County, Illinois",83,35,66,46,11,51,3,96,21,31,64167,17,2696,1350,1346,195,31.9,1825,189,1907,234,81,32,0,226,216,1367,1078,908,39.0,2.95,3.79,2680,1044,783,131,1927,769,1406,552,908,759,726,11.2,25,64167,58745,176,107,20460,15.0,18.0,908,676,92,963,425,71,66,651,17
000200,019,1400000US17019000200,"Census Tract 2, Champaign County, Illinois",270,31,23,128,40,108,19,71,43,56,25531,17,2333,1222,1111,238,26.5,1750,197,290,1548,0,321,0,28,146,154,1113,921,27.7,2.51,3.24,2316,713,891,249,1889,444,1641,215,921,881,645,9.3,80,25531,31357,196,315,13013,31.3,39.0,921,355,166,735,399,43,30,1026,17
000301,019,1400000US17019000301,"Census Tract 3.01, Champaign County, Illinois",1415,162,84,62,164,18,10,95,38,0,5512,17,5815,3794,2021,0,21.6,5799,48,3143,360,0,1934,0,132,246,239,2866,2163,0.8,2.61,3.87,5656,30,5146,418,4195,1620,3706,791,2163,2132,1858,7.1,201,5512,14383,34,33,7280,56.5,81.5,2163,0,1075,-666666666,-666666666,0,0,939,17
000302,019,1400000US17019000302,"Census Tract 3.02, Champaign County, Illinois",819,72,60,84,170,37,71,0,69,46,9771,17,2545,1615,930,0,23.3,2545,22,841,111,11,1521,0,20,41,121,2371,1616,0.0,1.57,1.96,2545,0,2157,527,1503,1042,1149,270,1616,1599,1078,4.0,61,9771,22262,56,67,15430,23.6,63.5,1616,0,825,-666666666,-666666666,0,0,934,17
000401,019,1400000US17019000401,"Census Tract 4.01, Champaign County, Illinois",367,30,23,58,7,21,19,0,0,18,4476,17,4987,2262,2725,0,19.8,4954,5,3613,160,6,1033,9,11,155,357,742,543,0.0,2.39,1.75,1296,0,4898,79,4355,632,3911,339,543,540,446,6.5,153,4476,10140,3,14,2937,100.0,90.5,543,0,236,-666666666,-666666666,0,0,812,17
000402,019,1400000US17019000402,"Census Tract 4.02, Champaign County, Illinois",764,59,103,68,51,19,39,0,0,0,3416,17,3556,2113,1443,0,21.2,3547,8,2108,240,0,923,0,73,212,351,1696,1140,0.0,2.22,3.29,2529,33,3373,413,2788,768,2398,300,1140,1119,720,5.6,32,3416,13273,8,37,5779,100.0,89.1,1140,0,558,-666666666,-666666666,0,0,839,17
000500,019,1400000US17019000500,"Census Tract 5, Champaign County, Illinois",106,102,190,114,28,41,62,74,35,180,59701,17,3441,1656,1785,234,36.7,2911,398,2629,494,0,201,0,60,57,108,1991,1847,23.9,1.86,2.63,3430,586,907,1775,3160,281,2919,95,1847,1766,1698,2.4,210,59701,102222,234,264,56472,13.9,16.7,1847,711,291,1900,661,17,13,858,17
000700,019,1400000US17019000700,"Census Tract 7, Champaign County, Illinois",176,43,130,76,56,96,161,121,31,114,39173,17,3845,2118,1727,279,27.6,2768,351,1675,1436,0,78,15,424,217,674,1563,1392,30.0,2.76,3.70,3845,1242,1246,264,3439,406,2942,366,1392,1119,1074,13.2,103,39173,47342,277,367,19033,17.9,30.2,1392,678,205,954,427,70,95,897,17
000800,019,1400000US17019000800,"Census Tract 8, Champaign County, Illinois",96,86,58,80,42,69,209,78,61,630,60946,17,6584,3542,3042,508,30.2,5195,562,3634,1422,0,1310,0,18,200,502,3058,2930,24.6,2.23,3.14,6526,1576,1568,2299,5122,1462,4236,835,2930,2881,2726,4.4,274,60946,77753,350,334,35926,6.5,12.7,2930,767,233,1404,648,11,13,1061,17
000901,019,1400000US17019000901,"Census Tract 9.01, Champaign County, Illinois",273,77,59,168,91,73,201,95,155,229,39673,17,4679,2355,2324,430,28.5,3281,317,1841,2534,0,43,0,155,106,665,2204,1867,29.5,2.51,3.45,4679,1769,1269,297,4143,536,3625,259,1867,1724,1542,10.2,30,39673,44794,293,403,18518,22.8,27.1,1867,687,351,991,438,78,26,850,17
