tract,county,geo_id,census_name,total_no_income,total_with_income,total_with_income_level1,total_with_income_level2,total_with_income_level3,total_with_income_level4,total_with_income_level5,total_with_income_level6,total_with_income_level7,total_with_income_level8,median_income,state_x,total_population,total_male,total_female,under_5_years,median_age,over_18_years,over_65_years,white,black,native,asian,islander,other_race,more_one_race,latino,housing_units_dp5,num_households_dp2,perc_hh_w_children,avg_household_size,avg_family_size,pop_in_households,pop_in_households_child,pop_enrolled,college_graduates,tot_pop_birth_native,tot_pop_birth_foreign,speaks_english_only,speaks_english_less_very_well,comp_tot_households,comp_tot_households_pc,comp_tot_households_internet,unemployment_rate,work_from_home,median_hh_income_d,average_hh_income_d,hh_social_security,hh_foodstamps_snap,per_capita_income_d,perc_fam_bellow_poverty,perc_ppl_bellow_poverty,occupied_units,occupied_units_owner,occupied_units_no_vehicle,median_owner_cost_unit_mortgage_d,median_owner_cost_unit_no_mortgage_d,rent_burdened_unit_mortgage,rent_burdened_unit_no_mortgage,occupied_median_rent_d,state_y
001303,113,1400000US17113001303,"Census Tract 13.03, McLean County, Illinois",102,134,36,22,60,53,26,57,30,46,36786,17,2054,963,1091,146,24.8,1534,166,1616,278,6,6,0,37,111,253,857,824,26.5,2.48,3.65,2044,669,823,280,1978,76,1760,90,824,801,709,2.7,61,36786,47359,130,276,19407,23.4,37.8,824,394,60,908,416,56,4,1087,17
001402,113,1400000US17113001402,"Census Tract 14.02, McLean County, Illinois",68,55,18,49,45,12,7,19,0,104,101042,17,3318,1516,1802,194,39.1,2425,448,2579,351,0,51,0,10,327,39,1338,1252,40.0,2.65,3.02,3318,1148,1064,1041,3222,96,3041,17,1252,1245,1175,1.5,153,101042,121474,298,184,45810,8.5,7.4,1252,920,20,1720,569,38,5,954,17
001403,113,1400000US17113001403,"Census Tract 14.03, McLean County, Illinois",180,117,90,9,127,48,9,76,20,183,60509,17,4006,1818,2188,358,35.7,3049,510,3230,243,6,74,0,27,426,393,1994,1751,33.8,2.23,2.80,3900,1123,939,747,3845,161,3351,136,1751,1588,1484,6.8,254,60509,66719,282,339,29745,14.9,19.1,1751,1287,95,1136,490,164,10,935,17
001404,113,1400000US17113001404,"Census Tract 14.04, McLean County, Illinois",45,84,71,56,26,65,143,101,100,111,57346,17,4359,2150,2209,355,33.6,2984,387,3451,330,0,21,0,194,363,418,1743,1580,40.8,2.76,3.23,4359,1395,1218,521,4006,353,3561,164,1580,1525,1309,3.4,171,57346,81357,325,241,29605,10.1,14.4,1580,1367,46,1296,466,141,60,964,17
001500,113,1400000US17113001500,"Census Tract 15, McLean County, Illinois",222,22,51,83,12,58,44,50,36,87,35104,17,2194,1088,1106,133,35.6,1726,270,1207,695,7,17,0,101,167,303,1098,898,23.6,2.43,3.30,2178,519,542,243,1956,238,1687,146,898,770,602,4.1,43,35104,45032,180,322,19054,26.0,28.6,898,382,161,925,373,38,0,746,17
001600,113,1400000US17113001600,"Census Tract 16, McLean County, Illinois",239,99,140,93,317,31,91,67,60,14,26710,17,2422,1353,1069,101,40.8,2221,229,1645,582,0,67,0,6,122,161,1679,1469,6.7,1.45,2.84,2132,215,309,558,2330,92,2147,45,1469,1349,1187,7.9,196,26710,41141,363,398,25922,35.9,33.0,1469,354,395,883,374,32,30,589,17
001700,113,1400000US17113001700,"Census Tract 17, McLean County, Illinois",197,51,58,43,59,13,17,104,22,160,44420,17,2050,886,1164,96,39.9,1608,183,1489,386,10,55,0,0,110,118,1234,1058,18.8,1.94,3.00,2050,513,543,435,1973,77,1804,82,1058,915,912,9.1,73,44420,46768,168,199,24254,26.6,29.6,1058,423,133,1080,508,74,17,732,17
001800,113,1400000US17113001800,"Census Tract 18, McLean County, Illinois",74,20,11,32,38,27,96,50,18,116,77216,17,3280,1466,1814,168,42.5,2420,689,2861,82,11,158,0,21,147,8,1477,1425,24.1,2.28,3.04,3254,949,884,1401,3138,142,2958,67,1425,1384,1351,1.2,186,77216,96307,388,64,42842,2.8,4.5,1425,1170,37,1513,694,86,34,1059,17
002101,113,1400000US17113002101,"Census Tract 21.01, McLean County, Illinois",265,70,46,165,107,80,316,80,100,114,47664,17,4596,2273,2323,134,44.4,3823,858,3973,334,0,69,0,134,86,572,2538,2344,21.5,1.94,2.81,4545,957,1118,894,4099,497,3745,417,2344,2214,1807,2.3,119,47664,66580,615,399,34420,18.2,16.5,2344,1649,269,1286,329,31,109,798,17
002102,113,1400000US17113002102,"Census Tract 21.02, McLean County, Illinois",31,59,0,5,46,0,14,142,4,30,69844,17,1633,838,795,23,51.9,1275,247,1530,19,15,0,0,19,50,67,711,693,26.6,2.36,2.69,1633,376,388,739,1605,28,1555,0,693,681,677,5.0,50,69844,105903,152,13,45126,4.3,9.9,693,649,6,1964,714,165,64,1310,17
