BRANCH,ADDRESS,CITY,ZIP,JANUARY,FEBRUARY,MARCH,APRIL,MAY,JUNE,JULY,AUGUST,SEPTEMBER,OCTOBER,NOVEMBER,DECEMBER,YTD,Location
Walker,11071 S. Hoyne Ave.,Chicago,60643,452,494,441,398,,,,,,,,,1785,POINT (-87.67380297499994 41.692205985000044)
Albany Park,3401 W. Foster Ave.,Chicago,60625,1118,1047,1048,970,,,,,,,,,4183,POINT (-87.71406100499996 41.975447006000024)
Avalon,8148 S. Stony Island Ave.,Chicago,60617,1352,1301,1475,1432,,,,,,,,,5560,POINT (-87.58626296499995 41.74633099300007)
Brainerd,1350 W. 89th St.,Chicago,60620,409,348,424,429,,,,,,,,,1610,POINT (-87.65773997999997 41.73252901600006)
Oriole Park,7454 W. Balmoral Ave.,Chicago,60656,585,554,799,680,,,,,,,,,2618,POINT (-87.81385401599994 41.97838398300007)
Little Italy,1336 W. Taylor St.,Chicago,60607,828,716,974,939,,,,,,,,,3457,POINT (-87.66052296199996 41.86942820300004)
Edgebrook,5331 W. Devon Ave.,Chicago,60646,435,363,451,374,,,,,,,,,1623,POINT (-87.76208696299994 41.997127008000064)
Kelly,6151 S. Normal Blvd.,Chicago,60621,515,557,634,635,,,,,,,,,2341,POINT (-87.63724899299996 41.78199800300007)
Edgewater,6000 N. Broadway St.,Chicago,60660,1931,1742,2151,2204,,,,,,,,,8028,POINT (-87.66070097099998 41.991152010000064)
Near North,310 W. Division St.,Chicago,60610,1211,1085,1310,1540,,,,,,,,,5146,POINT (-87.63657902699998 41.90413901200003)
Canaryville,642 W. 43rd St.,Chicago,60609,238,255,313,315,,,,,,,,,1121,POINT (-87.64259698199999 41.81648899000004)
"Daley, Richard J. -Bridgeport",3400 S. Halsted St.,Chicago,60608,795,689,937,951,,,,,,,,,3372,POINT (-87.64646497899997 41.83263798300004)
Manning,6 S. Hoyne Ave.,Chicago,60612,693,692,799,769,,,,,,,,,2953,POINT (-87.67958900299999 41.88105701100005)
Portage-Cragin,5108 W. Belmont Ave.,Chicago,60641,788,775,989,905,,,,,,,,,3457,POINT (-87.75493602599994 41.93894499100003)
"Whitney M. Young, Jr.",415 East 79th St.,Chicago,60619,1580,1474,1707,1641,,,,,,,,,6402,POINT (-87.61424603299997 41.75093500500003)
Greater Grand Crossing,1000 E. 73rd St.,Chicago,60619,824,730,871,802,,,,,,,,,3227,POINT (-87.60042402299996 41.762564015000066)
Scottsdale,4101 W. 79th St.,Chicago,60652,606,551,705,645,,,,,,,,,2507,POINT (-87.72458196999997 41.74917501500005)
Altgeld,955 E. 131st St.,Chicago,60827,527,449,530,510,,,,,,,,,2016,POINT (-87.59858989999998 41.65721704300006)
