BRANCH,ADDRESS,CITY,ZIP,JANUARY,FEBRUARY,MARCH,APRIL,MAY,JUNE,JULY,AUGUST,SEPTEMBER,OCTOBER,NOVEMBER,DECEMBER,YTD,Location
West Lawn,4020 W. 63rd St.,Chicago,60629,529,543,646,760,,,,,,,,,2478,POINT (-87.72380899099994 41.77890801400008)
Back of the Yards,2111 W. 47th St.,Chicago,60609,414,446,640,604,,,,,,,,,2104,POINT (-87.67814396299997 41.80798098100007)
Rogers Park,6907 N. Clark St.,Chicago,60626,1495,1209,1889,1667,,,,,,,,,6260,POINT (-87.67335866399998 42.006785587000024)
Garfield Ridge,6348 S. Archer Ave.,Chicago,60638,489,485,596,620,,,,,,,,,2190,POINT (-87.78021903099994 41.792989989000034)
King,3436 S. King Dr.,Chicago,60616,1000,892,1046,1043,,,,,,,,,3981,POINT (-87.61740244999999 41.83221959000008)
Water Works,163 E. Pearson Street,Chicago,60611,128,156,187,177,,,,,,,,,648,POINT (-87.62349998899998 41.89724401700005)
"Daley, Richard M. -W. Humboldt",733 N. Kedzie Ave.,Chicago,60612,856,912,1012,1098,,,,,,,,,3878,POINT (-87.70645903299999 41.89468773600004)
Humboldt Park,1605 N. Troy St.,Chicago,60647,770,806,1030,1070,,,,,,,,,3676,POINT (-87.70530602299993 41.91045498600005)
Sulzer Regional Library,4455 N. Lincoln Ave.,Chicago,60625,3085,2753,3463,3228,,,,,,,,,12529,POINT (-87.68438998999994 41.96275701400003)
Blackstone,4904 S. Lake Park Ave.,Chicago,60615,893,960,1230,1076,,,,,,,,,4159,POINT (-87.59033900099996 41.80583999100003)
North Austin,5724 W. North Ave.,Chicago,60639,618,600,768,722,,,,,,,,,2708,POINT (-87.76889700799995 41.909612018000075)
West Town,1625 W. Chicago Ave.,Chicago,60622,1116,1009,1140,1064,,,,,,,,,4329,POINT (-87.66850200799996 41.89578200300008)
Budlong Woods,5630 N. Lincoln Ave.,Chicago,60659,957,894,1236,1081,,,,,,,,,4168,POINT (-87.69633202199998 41.983373017000076)
Lincoln Park,1150 W. Fullerton Ave.,Chicago,60614,840,774,910,881,,,,,,,,,3405,POINT (-87.65814801099998 41.925597019000065)
West Englewood,1745 W. 63rd St.,Chicago,60636,693,634,798,760,,,,,,,,,2885,POINT (-87.66838499699998 41.77907900500003)
Archer Heights,5055 S. Archer Ave.,Chicago,60632,805,701,856,207,,,,,,,,,2569,POINT (-87.72667803199994 41.80089198600007)
Hegewisch,3048 E. 130th St.,Chicago,60633,364,385,516,445,,,,,,,,,1710,POINT (-87.54892896299998 41.65940898100007)
Independence,4024 N. Elston Ave.,Chicago,60618,753,647,808,754,,,,,,,,,2962,POINT (-87.72033502699998 41.95412998200004)
Lozano,1805 S. Loomis St.,Chicago,60608,1339,1353,1611,1468,,,,,,,,,5771,POINT (-87.66092996499998 41.85762200600004)
South Shore,2505 E. 73rd St.,Chicago,60649,1038,1069,1260,1439,,,,,,,,,4806,POINT (-87.56371799299995 41.76244901600006)
Chinatown,2100 S. Wentworth Ave.,Chicago,60616,1613,1559,2027,1803,,,,,,,,,7002,POINT (-87.63212899099995 41.85376201400004)
Douglass,3353 W. 13th St.,Chicago,60623,768,770,814,287,,,,,,,,,2639,POINT (-87.70967805399994 41.864482714000076)
Logan Square,3030 W. Fullerton Ave.,Chicago,60647,1250,1101,1384,1452,,,,,,,,,5187,POINT (-87.70349402299996 41.92508501100008)
Roden,6083 N. Northwest Hwy.,Chicago,60631,427,453,517,484,,,,,,,,,1881,POINT (-87.79802001399997 41.99215398300004)
Galewood-Mont Clare,6871 W. Belden Ave.,Chicago,60707,0,0,0,0,,,,,,,,,0,POINT (-87.79731647599993 41.921091352000076)
West Belmont,3104 N. Narragansett Ave.,Chicago,60634,648,680,780,775,,,,,,,,,2883,POINT (-87.78619901599996 41.936736988000064)
Bucktown-Wicker Park,1701 N. Milwaukee Ave.,Chicago,60647,657,683,836,884,,,,,,,,,3060,POINT (-87.68035200799994 41.91256001700003)
North Pulaski,4300 W. North Ave.,Chicago,60639,567,500,572,592,,,,,,,,,2231,POINT (-87.73398202299995 41.91014301100006)
McKinley Park,1915 W. 35th St.,Chicago,60609,467,626,833,668,,,,,,,,,2594,POINT (-87.67359300899994 41.83017198500005)
,,,,,,,,,,,,,,,,329438,
West Pullman,830 W. 119th St.,Chicago,60643,948,1029,1307,1345,,,,,,,,,4629,POINT (-87.64309696299995 41.678082017000065)
Beverly,1962 W. 95th St.,Chicago,60643,832,897,1038,943,,,,,,,,,3710,POINT (-87.67214897399998 41.721352000000024)
Legler Regional,115 S. Pulaski Rd.,Chicago,60624,1409,1502,1563,1387,,,,,,,,,5861,POINT (-87.72527699699998 41.87931500000008)
Toman,2708 S. Pulaski Rd.,Chicago,60623,723,681,713,683,,,,,,,,,2800,POINT (-87.72487298899995 41.84206699600003)
Austin,5615 W. Race Ave.,Chicago,60644,698,754,858,877,,,,,,,,,3187,POINT (-87.76581397599995 41.88902598000004)
Wrightwood-Ashburn,8530 S. Kedzie Ave.,Chicago,60652,577,561,806,757,,,,,,,,,2701,POINT (-87.70250403699998 41.73764801200008)
Jefferson Park,5363 W. Lawrence Ave.,Chicago,60630,931,886,1089,941,,,,,,,,,3847,POINT (-87.76198696699998 41.96736198900004)
Mayfair,4400 W. Lawrence Ave.,Chicago,60630,323,310,455,364,,,,,,,,,1452,POINT (-87.73819501899999 41.96839200000005)
South Chicago,9055 S. Houston Ave.,Chicago,60617,1168,1014,1236,1047,,,,,,,,,4465,POINT (-87.54953597999997 41.73037901600003)
Clearing,6423 W. 63rd Pl.,Chicago,60638,504,440,611,485,,,,,,,,,2040,POINT (-87.78226496999997 41.77645798400005)
Merlo,644 W. Belmont Ave.,Chicago,60657,995,865,1063,1185,,,,,,,,,4108,POINT (-87.64621896999995 41.94032000000004)
Uptown,929 W. Buena Ave.,Chicago,60613,1166,1150,1359,1521,,,,,,,,,5196,POINT (-87.65421103099999 41.958200988000044)
Chicago Lawn,6120 S. Kedzie Ave.,Chicago,60629,1024,885,1081,1016,,,,,,,,,4006,POINT (-87.70353903399996 41.78196699000006)
Harold Washington Library Center,400 S. State Street,Chicago,60605,9873,9368,10957,10276,,,,,,,,,40474,POINT (-87.62839401499997 41.876313985000024)
Brighton Park,4314 S. Archer Ave.,Chicago,60632,381,481,635,705,,,,,,,,,2202,POINT (-87.70319504099996 41.815067000000056)
West Chicago Avenue,4856 W. Chicago Ave.,Chicago,60651,752,717,987,926,,,,,,,,,3382,POINT (-87.74799497199996 41.895320998000045)
Little Village,2311 S. Kedzie Ave.,Chicago,60623,1003,1002,1282,1246,,,,,,,,,4533,POINT (-87.70482599199994 41.84964000300005)
Lincoln Belmont,1659 W. Melrose St.,Chicago,60657,714,592,701,657,,,,,,,,,2664,POINT (-87.67089302999995 41.94032398100006)
Gage Park,2807 W. 55th St.,Chicago,60632,314,370,376,326,,,,,,,,,1386,POINT (-87.69417703499994 41.793441019000056)
Northtown,6800 N. Western Ave.,Chicago,60645,1567,1399,1826,1671,,,,,,,,,6463,POINT (-87.69042596599996 42.00547500600004)
Dunning,7455 W. Cornelia Ave.,Chicago,60634,733,707,849,710,,,,,,,,,2999,POINT (-87.81379976199997 41.943288933000076)
Bezazian,1226 W. Ainslie St.,Chicago,60640,1240,1119,1457,1388,,,,,,,,,5204,POINT (-87.66075201699994 41.97158198400007)
West Loop,122 N. Aberdeen St.,Chicago,60607,481,439,391,326,,,,,,,,,1637,POINT (-87.65475702799995 41.883784985000034)
Pullman,11001 S. Indiana Ave.,Chicago,60628,932,908,978,904,,,,,,,,,3722,POINT (-87.61795896499996 41.69437199400005)
Jeffery Manor,2401 E. 100th St.,Chicago,60617,667,735,795,779,,,,,,,,,2976,POINT (-87.56553200399998 41.71323701800003)
Hall,4801 S. Michigan Ave.,Chicago,60615,614,565,809,785,,,,,,,,,2773,POINT (-87.62227597999998 41.807196015000045)
Mount Greenwood,11010 S. Kedzie Ave.,Chicago,60655,524,108,344,592,,,,,,,,,1568,POINT (-87.70122101899995 41.693149997000035)
Coleman,731 E. 63rd St.,Chicago,60637,1274,1319,1362,1365,,,,,,,,,5320,POINT (-87.60683500599998 41.78013499900004)
Austin-Irving,6100 W. Irving Park Rd.,Chicago,60634,610,542,770,675,,,,,,,,,2597,POINT (-87.77955501699995 41.953195986000026)
Woodson Regional Library,9525 S. Halsted St.,Chicago,60628,2873,2960,3390,3440,,,,,,,,,12663,POINT (-87.64280401499997 41.72086698100003)
Thurgood Marshall,7506 S. Racine Ave.,Chicago,60620,936,1024,1185,1179,,,,,,,,,4324,POINT (-87.65437699299997 41.75737498900003)
Chicago Bee,3647 S. State St.,Chicago,60609,643,622,662,631,,,,,,,,,2558,POINT (-87.62622997499994 41.82817399100003)
Vodak-East Side,3710 E. 106th St.,Chicago,60617,762,743,780,859,,,,,,,,,3144,POINT (-87.53353098799994 41.702956991000065)
Sherman Park,5440 S. Racine Ave.,Chicago,60609,650,608,742,748,,,,,,,,,2748,POINT (-87.65514603199995 41.79484800500006)
