geoid,qualifying name,Percent: 25+ Less Than High School,Percent: 25+ High School or More,Percent: 25+ Some College or More,Percent: 25+ Bachelor's Degree or More,Percent: 25+ Master's Degree or More,Percent: 25+ Professional School Degree or More,Percent: 25+ Doctorate Degree
17031823303,"Census Tract 8233.03, Cook County, Illinois",0.07905138339920949,0.9209486166007905,0.5573122529644269,0.21056413941789437,0.07222421846927776,0.0,0.0
17031823304,"Census Tract 8233.04, Cook County, Illinois",0.10900023747328426,0.8909997625267158,0.5616243172643077,0.18475421515079554,0.05058180954642603,0.03063405366896224,0.0
17031740400,"Census Tract 7404, Cook County, Illinois",0.022186495176848873,0.9778135048231511,0.7045016077170418,0.3382636655948553,0.11543408360128618,0.013504823151125401,0.006430868167202572
17031740300,"Census Tract 7403, Cook County, Illinois",0.05921601334445371,0.9407839866555463,0.7795385043091465,0.457047539616347,0.213511259382819,0.014456491520711705,0.0061162079510703364
17031822802,"Census Tract 8228.02, Cook County, Illinois",0.0784072249589491,0.9215927750410509,0.7463054187192119,0.44991789819376027,0.15804597701149425,0.020935960591133004,0.01683087027914614
17031823400,"Census Tract 8234, Cook County, Illinois",0.18192385934321417,0.8180761406567858,0.47544318512060446,0.17320546352804417,0.06102877070619006,0.004649811101424005,0.004649811101424005
17031823500,"Census Tract 8235, Cook County, Illinois",0.17121046892039257,0.8287895310796074,0.5176299527444566,0.19956379498364232,0.06506724827335514,0.0,0.0
17031750400,"Census Tract 7504, Cook County, Illinois",0.042418772563176894,0.9575812274368231,0.7973826714801444,0.5658844765342961,0.2888086642599278,0.05956678700361011,0.028429602888086644
17031750300,"Census Tract 7503, Cook County, Illinois",0.009373169302870533,0.9906268306971294,0.8547158758055068,0.6285881663737551,0.3298183948447569,0.10134739308728764,0.033391915641476276
17031740100,"Census Tract 7401, Cook County, Illinois",0.07303370786516854,0.9269662921348315,0.6989700374531835,0.32771535580524347,0.14653558052434457,0.04260299625468165,0.019662921348314606
17031720600,"Census Tract 7206, Cook County, Illinois",0.019769357495881382,0.9802306425041186,0.9258649093904449,0.6985172981878089,0.21993410214168038,0.03130148270181219,0.014827018121911038
17031720500,"Census Tract 7205, Cook County, Illinois",0.03831705484598046,0.9616829451540195,0.8587528174305034,0.5950413223140496,0.21863260706235912,0.04658151765589782,0.010518407212622089
17031720400,"Census Tract 7204, Cook County, Illinois",0.03330689928628073,0.9666931007137193,0.8326724821570183,0.5440126883425852,0.29024583663758924,0.0380650277557494,0.0
17031821900,"Census Tract 8219, Cook County, Illinois",0.06087211003804507,0.939127889961955,0.743049458589406,0.4047410008779631,0.1527655838454785,0.016388645010242904,0.0073163593795727245
17031720300,"Census Tract 7203, Cook County, Illinois",0.034401349072512646,0.9655986509274873,0.8829679595278246,0.6748735244519393,0.2860033726812816,0.09612141652613827,0.021585160202360877
17031823200,"Census Tract 8232, Cook County, Illinois",0.12305475504322766,0.8769452449567723,0.5570605187319885,0.21181556195965417,0.06570605187319885,0.020172910662824207,0.008069164265129682
17031826500,"Census Tract 8265, Cook County, Illinois",0.14331488494028546,0.8566851150597146,0.5732595397611419,0.14156714244101368,0.043984852898339644,0.005825808330905913,0.0
17031825801,"Census Tract 8258.01, Cook County, Illinois",0.070020964360587,0.929979035639413,0.6138364779874214,0.16729559748427672,0.0440251572327044,0.0041928721174004195,0.0041928721174004195
17031826401,"Census Tract 8264.01, Cook County, Illinois",0.057624113475177305,0.9423758865248227,0.612145390070922,0.162677304964539,0.03900709219858156,0.0013297872340425532,0.0
17031825700,"Census Tract 8257, Cook County, Illinois",0.15761821366024517,0.8423817863397548,0.5632224168126094,0.138353765323993,0.053590192644483364,0.017513134851138354,0.0028021015761821367
17031540101,"Census Tract 5401.01, Cook County, Illinois",0.09073265405143134,0.9092673459485686,0.5327510917030568,0.049005337214944204,0.021348859776807377,0.0,0.0
17031550200,"Census Tract 5502, Cook County, Illinois",0.10131712259371833,0.8986828774062816,0.6281661600810537,0.13829787234042554,0.057244174265450865,0.02330293819655522,0.005572441742654508
17031550100,"Census Tract 5501, Cook County, Illinois",0.14170506912442396,0.8582949308755761,0.44953917050691244,0.1748847926267281,0.08064516129032258,0.0,0.0
17031821402,"Census Tract 8214.02, Cook County, Illinois",0.07176360225140713,0.9282363977485929,0.6744840525328331,0.14821763602251406,0.0623827392120075,0.009849906191369606,0.0
17031821200,"Census Tract 8212, Cook County, Illinois",0.22983300311350127,0.7701669968864987,0.5273138975375036,0.2323804132465327,0.07387489385791113,0.0008491367110104727,0.0002830455703368242
17031821401,"Census Tract 8214.01, Cook County, Illinois",0.09581151832460733,0.9041884816753927,0.6162303664921466,0.19476439790575917,0.11780104712041885,0.0,0.0
17031750500,"Census Tract 7505, Cook County, Illinois",0.09237645890240874,0.9076235410975912,0.6585547554010429,0.25180034765334,0.0854233921033027,0.032778743481499874,0.011671219269927986
17031750600,"Census Tract 7506, Cook County, Illinois",0.15091973244147158,0.8490802675585284,0.6237458193979933,0.21906354515050167,0.07107023411371237,0.00919732441471572,0.00919732441471572
17031750200,"Census Tract 7502, Cook County, Illinois",0.013314967860422406,0.9866850321395776,0.9086317722681359,0.43526170798898073,0.20707070707070707,0.04453627180899908,0.008723599632690543
17031720700,"Census Tract 7207, Cook County, Illinois",0.04792332268370607,0.952076677316294,0.775445002282063,0.4454586946599726,0.2519397535371976,0.04701049748973072,0.035600182565038795
17031720200,"Census Tract 7202, Cook County, Illinois",0.014366855997327097,0.9856331440026729,0.7577681256264618,0.4784497160040094,0.2502505846976278,0.07183427998663548,0.018710324089542266
